Current app: com.adum.newyearphotocollage2017HD	non-overlapping apis #: 311	 all apis #: 374
Current app: english.grammar.test.app	non-overlapping apis #: 329	 all apis #: 335
Current app: com.pogomeet.com	non-overlapping apis #: 100	 all apis #: 100
Current app: minecraftmaps.mapsforminecraft.forminecraftpe	non-overlapping apis #: 1	 all apis #: 1
Current app: com.ml.BreitHedge	non-overlapping apis #: 561	 all apis #: 1876
Current app: com.punchh.tacojohns	non-overlapping apis #: 318	 all apis #: 336
Current app: com.milestonesys.mobile	non-overlapping apis #: 113	 all apis #: 113
Current app: at.tmobile.android.myt	non-overlapping apis #: 52	 all apis #: 52
Current app: com.kosan.denmanoti_android_googlemarket	non-overlapping apis #: 22	 all apis #: 22
Current app: com.photoupload	non-overlapping apis #: 1818	 all apis #: 1844
Current app: com.flexaspect.android.everycallcontrol	non-overlapping apis #: 86	 all apis #: 91079
Current app: com.kafuiutils	non-overlapping apis #: 132	 all apis #: 132
Current app: com.omniluxtrade.veganrecipes	non-overlapping apis #: 360	 all apis #: 360
Current app: com.makeupface.tutorials	non-overlapping apis #: 126	 all apis #: 126
Current app: air.com.KalromSystems.FruitDrawPlay	non-overlapping apis #: 1	 all apis #: 1
Current app: com.plugin.apps.beautycareus	non-overlapping apis #: 331	 all apis #: 331
Current app: com.omniluxtrade.vegetarianrecipes	non-overlapping apis #: 168	 all apis #: 168
Current app: worldwide.news.gate.radioscanner	non-overlapping apis #: 85	 all apis #: 85
Current app: com.lucktastic.scratch	non-overlapping apis #: 165	 all apis #: 165
Current app: com.imagedrome.jihachul	non-overlapping apis #: 94	 all apis #: 94
Current app: com.newgeneration.seibmozseorehstnalp	non-overlapping apis #: 2	 all apis #: 2
Current app: com.clc.hotellocator.android	non-overlapping apis #: 24	 all apis #: 24
Current app: com.getusedparts	non-overlapping apis #: 123344	 all apis #: 123381
Current app: com.mountainproject.android	non-overlapping apis #: 260702	 all apis #: 260774
Current app: com.lionmobi.netmaster	non-overlapping apis #: 2872	 all apis #: 130049
